ADM3_PCODE,ADM2_PCODE,ADM1_PCODE
UA0102003,UA0102,UA01
UA0102005,UA0102,UA01
UA0102009,UA0102,UA01
UA0102011,UA0102,UA01
UA0102013,UA0102,UA01
UA0102015,UA0102,UA01
UA0102017,UA0102,UA01
UA0102019,UA0102,UA01
UA0102025,UA0102,UA01
UA0102027,UA0102,UA01
UA0102029,UA0102,UA01
UA0102033,UA0102,UA01
UA0102035,UA0102,UA01
UA0102037,UA0102,UA01
UA0102039,UA0102,UA01
UA0102041,UA0102,UA01
UA0102045,UA0102,UA01
UA0102047,UA0102,UA01
UA0104001,UA0104,UA01
UA0104003,UA0104,UA01
UA0104005,UA0104,UA01
UA0104007,UA0104,UA01
UA0104009,UA0104,UA01
UA0104011,UA0104,UA01
UA0104013,UA0104,UA01
UA0104015,UA0104,UA01
UA0104017,UA0104,UA01
UA0104019,UA0104,UA01
UA0104021,UA0104,UA01
UA0104023,UA0104,UA01
UA0104025,UA0104,UA01
UA0104027,UA0104,UA01
UA0104029,UA0104,UA01
UA0104031,UA0104,UA01
UA0104033,UA0104,UA01
UA0104035,UA0104,UA01
UA0104037,UA0104,UA01
UA0104039,UA0104,UA01
UA0104041,UA0104,UA01
UA0104043,UA0104,UA01
UA0104045,UA0104,UA01
UA0104047,UA0104,UA01
UA0104049,UA0104,UA01
UA0104051,UA0104,UA01
UA0104053,UA0104,UA01
UA0104055,UA0104,UA01
UA0104057,UA0104,UA01
UA0104059,UA0104,UA01
UA0104061,UA0104,UA01
UA0104063,UA0104,UA01
UA0104065,UA0104,UA01
UA0104067,UA0104,UA01
UA0104069,UA0104,UA01
UA0104071,UA0104,UA01
UA0104073,UA0104,UA01
UA0104075,UA0104,UA01
UA0106001,UA0106,UA01
UA0106003,UA0106,UA01
UA0106005,UA0106,UA01
UA0106007,UA0106,UA01
UA0106009,UA0106,UA01
UA0106011,UA0106,UA01
UA0106013,UA0106,UA01
UA0106015,UA0106,UA01
UA0106017,UA0106,UA01
UA0106019,UA0106,UA01
UA0106021,UA0106,UA01
UA0106023,UA0106,UA01
UA0106025,UA0106,UA01
UA0106027,UA0106,UA01
UA0106029,UA0106,UA01
UA0106031,UA0106,UA01
UA0106033,UA0106,UA01
UA0106035,UA0106,UA01
UA0106037,UA0106,UA01
UA0106039,UA0106,UA01
UA0106041,UA0106,UA01
